0,0.1
2,2.3
4,1.7
6,1.5
8,1.4
10,1.5
12,1.5
14,1.5
16,1.5
18,1.6
20,1.6
25,1.7
30,1.8
35,1.8
40,1.9
45,2
50,2
55,2
60,2.1
65,2.1
70,2.2
75,2.3
80,2.3
85,2.5
90,2.5
95,4.3
100,2.8
120,3
140,2.9
160,2.9
180,3.5
200,3.8
220,4
240,4.2
260,5.8
280,6.1
300,6.3
320,6.5
340,7
360,7.1
380,7.4
400,7.5
420,7.8
440,8
460,8.3
480,8.4
500,8.6
520,10.8
540,10.5
560,10.7
580,11
600,11.3
620,11.5
640,11
660,11.9
680,12.2
700,12.6
720,12.8
740,12.9
760,13.1
780,14.6
800,14.9
