0,0.1
2,2.3
4,2.3
6,2.4
8,1.5
10,1.5
12,1.5
14,2.5
16,2.6
18,2.7
20,2.8
25,2.8
30,1.7
35,2.7
40,1.9
45,3.2
50,3.3
55,2
60,4.5
65,2.1
70,2.1
75,2.2
80,2.7
85,2.4
90,2.4
95,2.5
100,2.6
120,2.6
140,4.3
160,3
180,3.2
200,3.4
220,3.9
240,4.1
260,5.6
280,5.7
300,6.2
320,6.4
340,6.6
360,6.9
380,7.2
400,7.3
420,7.3
440,12.8
460,9.7
480,9.6
500,8.7
520,10.4
540,10.7
560,10.5
580,10.7
600,11
620,11.4
640,11.5
660,11.7
680,12.1
700,12.2
720,12.5
740,12.8
760,12.7
780,14.4
800,15
