0,1
250,3
500,2
750,5
1000,5
1250,6
1500,9
1750,7
2000,8
2250,7
2500,14
2750,13
3000,14
3250,13
3500,13
3750,13
4000,12
4250,14
4500,14
4750,15
5000,15
5250,16
5500,16
5750,17
6000,17
6250,19
6500,17
6750,18
7000,18
7250,19
7500,20
7750,21
8000,20
8250,21
8500,21
8750,21
9000,22
9250,21
9500,22
9750,23
10000,23
10250,22
10500,23
10750,24
11000,22
11250,22
