0,0.1
2,1.8
4,1.8
6,1.5
8,1.5
10,2.3
12,1.5
14,1.5
16,1.7
18,2.4
20,1.5
25,1.5
30,1.5
35,1.6
40,1.7
45,1.8
50,1.8
55,1.8
60,1.9
65,2
70,1.9
75,2
80,2
85,2.1
90,2.2
95,2.2
100,4
120,2.5
140,2.7
160,2.9
180,3.2
200,5.7
220,6
240,3.8
260,5.4
280,5.5
300,5.6
320,5.9
340,6
360,6.3
380,6.6
400,6.9
420,7.1
440,7.3
460,7.5
480,12.8
500,7.8
520,9.4
540,10
560,9.9
580,16.2
600,11.9
620,15.4
640,10.7
660,11
680,11.1
700,14.8
720,11.6
740,11.7
760,12.1
780,16.4
800,14.5
